cohort_date,day_number,active_users,retention_rate
2020-09-26,87.0,2,0.1
2020-09-26,88.0,1,0.05
2020-09-26,89.0,1,0.05
2020-09-26,90.0,1,0.05
2020-09-26,91.0,3,0.16
2020-09-26,93.0,2,0.1
2020-09-26,97.0,1,0.05
2020-09-26,98.0,1,0.05
2020-09-26,99.0,1,0.05
2020-09-26,100.0,1,0.05
2020-09-26,101.0,1,0.05
2020-09-26,102.0,1,0.05
2020-09-26,104.0,1,0.05
2020-09-26,106.0,2,0.1
2020-09-26,112.0,1,0.05
2020-09-26,118.0,1,0.05
2020-09-26,119.0,2,0.1
2020-09-26,120.0,1,0.05
2020-09-26,122.0,1,0.05
2020-09-26,128.0,1,0.05
2020-09-26,130.0,1,0.05
2020-09-26,131.0,1,0.05
2020-09-26,134.0,1,0.05
2020-09-26,136.0,1,0.05
2020-09-26,141.0,1,0.05
2020-09-26,143.0,1,0.05
2020-09-26,155.0,2,0.1
2020-09-27,0.0,2043,100.0
2020-09-27,1.0,77,3.77
2020-09-27,2.0,38,1.86
2020-09-27,3.0,34,1.66
2020-09-27,4.0,16,0.78
2020-09-27,5.0,20,0.98
2020-09-27,6.0,13,0.64
2020-09-27,7.0,12,0.59
2020-09-27,8.0,13,0.64
2020-09-27,9.0,13,0.64
2020-09-27,10.0,15,0.73
2020-09-27,11.0,10,0.49
2020-09-27,12.0,8,0.39
2020-09-27,13.0,5,0.24
2020-09-27,14.0,5,0.24
2020-09-27,15.0,8,0.39
2020-09-27,16.0,8,0.39
2020-09-27,17.0,9,0.44
2020-09-27,18.0,8,0.39
2020-09-27,19.0,5,0.24
2020-09-27,20.0,5,0.24
2020-09-27,21.0,5,0.24
2020-09-27,22.0,3,0.15
2020-09-27,23.0,6,0.29
2020-09-27,24.0,3,0.15
2020-09-27,25.0,4,0.2
2020-09-27,26.0,5,0.24
2020-09-27,27.0,5,0.24
2020-09-27,28.0,4,0.2
2020-09-27,29.0,2,0.1
2020-09-27,30.0,5,0.24
2020-09-27,31.0,2,0.1
2020-09-27,32.0,5,0.24
2020-09-27,33.0,3,0.15
2020-09-27,34.0,3,0.15
2020-09-27,35.0,8,0.39
2020-09-27,36.0,7,0.34
2020-09-27,38.0,1,0.05
2020-09-27,39.0,3,0.15
2020-09-27,40.0,3,0.15
2020-09-27,42.0,4,0.2
2020-09-27,43.0,1,0.05
2020-09-27,44.0,2,0.1
2020-09-27,47.0,2,0.1
2020-09-27,49.0,3,0.15
2020-09-27,50.0,2,0.1
2020-09-27,51.0,1,0.05
2020-09-27,52.0,1,0.05
2020-09-27,53.0,2,0.1
2020-09-27,55.0,2,0.1
2020-09-27,56.0,1,0.05
2020-09-27,57.0,3,0.15
2020-09-27,58.0,1,0.05
2020-09-27,59.0,1,0.05
2020-09-27,60.0,1,0.05
2020-09-27,61.0,1,0.05
2020-09-27,65.0,1,0.05
2020-09-27,68.0,2,0.1
2020-09-27,73.0,1,0.05
2020-09-27,74.0,1,0.05
2020-09-27,75.0,1,0.05
2020-09-27,76.0,1,0.05
2020-09-27,77.0,1,0.05
2020-09-27,78.0,1,0.05
2020-09-27,85.0,1,0.05
2020-09-27,86.0,1,0.05
2020-09-27,88.0,1,0.05
2020-09-27,89.0,1,0.05
2020-09-27,90.0,2,0.1
2020-09-27,100.0,1,0.05
2020-09-27,101.0,1,0.05
2020-09-27,103.0,1,0.05
2020-09-27,110.0,1,0.05
2020-09-27,113.0,1,0.05
2020-09-27,115.0,1,0.05
2020-09-27,122.0,1,0.05
2020-09-27,127.0,1,0.05
2020-09-27,139.0,1,0.05
2020-09-27,140.0,1,0.05
2020-09-27,141.0,1,0.05
2020-09-27,152.0,1,0.05
2020-09-28,0.0,2532,100.0
2020-09-28,1.0,89,3.52
2020-09-28,2.0,42,1.66
2020-09-28,3.0,33,1.3
2020-09-28,4.0,23,0.91
2020-09-28,5.0,7,0.28
2020-09-28,6.0,9,0.36
2020-09-28,7.0,14,0.55
2020-09-28,8.0,14,0.55
2020-09-28,9.0,14,0.55
2020-09-28,10.0,13,0.51
2020-09-28,11.0,10,0.39
2020-09-28,12.0,10,0.39
2020-09-28,13.0,6,0.24
2020-09-28,14.0,14,0.55
2020-09-28,15.0,8,0.32
2020-09-28,16.0,5,0.2
2020-09-28,17.0,8,0.32
2020-09-28,18.0,5,0.2
2020-09-28,19.0,6,0.24
2020-09-28,20.0,5,0.2
2020-09-28,21.0,5,0.2
2020-09-28,22.0,5,0.2
2020-09-28,23.0,7,0.28
2020-09-28,24.0,4,0.16
2020-09-28,25.0,3,0.12
2020-09-28,26.0,4,0.16
2020-09-28,27.0,10,0.39
2020-09-28,28.0,8,0.32
2020-09-28,29.0,5,0.2
2020-09-28,30.0,6,0.24
2020-09-28,31.0,6,0.24
2020-09-28,32.0,5,0.2
2020-09-28,33.0,2,0.08
2020-09-28,34.0,2,0.08
2020-09-28,35.0,4,0.16
2020-09-28,36.0,2,0.08
2020-09-28,38.0,2,0.08
2020-09-28,39.0,3,0.12
2020-09-28,40.0,1,0.04
2020-09-28,41.0,1,0.04
2020-09-28,42.0,4,0.16
2020-09-28,43.0,1,0.04
2020-09-28,44.0,4,0.16
2020-09-28,45.0,1,0.04
2020-09-28,48.0,5,0.2
2020-09-28,50.0,1,0.04
2020-09-28,51.0,2,0.08
2020-09-28,52.0,5,0.2
2020-09-28,53.0,3,0.12
2020-09-28,54.0,1,0.04
2020-09-28,55.0,2,0.08
2020-09-28,56.0,1,0.04
2020-09-28,57.0,2,0.08
2020-09-28,59.0,2,0.08
2020-09-28,62.0,1,0.04
2020-09-28,63.0,2,0.08
2020-09-28,64.0,2,0.08
2020-09-28,65.0,2,0.08
2020-09-28,66.0,3,0.12
2020-09-28,67.0,4,0.16
2020-09-28,71.0,1,0.04
2020-09-28,72.0,2,0.08
2020-09-28,74.0,1,0.04
2020-09-28,76.0,1,0.04
2020-09-28,77.0,2,0.08
2020-09-28,78.0,2,0.08
2020-09-28,79.0,2,0.08
2020-09-28,81.0,1,0.04
2020-09-28,82.0,1,0.04
2020-09-28,83.0,2,0.08
2020-09-28,84.0,3,0.12
2020-09-28,85.0,1,0.04
2020-09-28,86.0,3,0.12
2020-09-28,87.0,2,0.08
2020-09-28,88.0,1,0.04
2020-09-28,90.0,1,0.04
2020-09-28,92.0,1,0.04
2020-09-28,93.0,1,0.04
2020-09-28,95.0,1,0.04
2020-09-28,97.0,1,0.04
2020-09-28,98.0,2,0.08
2020-09-28,99.0,4,0.16
2020-09-28,101.0,1,0.04
2020-09-28,102.0,2,0.08
2020-09-28,103.0,1,0.04
2020-09-28,105.0,2,0.08
2020-09-28,106.0,1,0.04
2020-09-28,107.0,2,0.08
2020-09-28,110.0,2,0.08
2020-09-28,111.0,1,0.04
2020-09-28,112.0,1,0.04
2020-09-28,113.0,1,0.04
2020-09-28,115.0,1,0.04
2020-09-28,117.0,1,0.04
2020-09-28,119.0,1,0.04
2020-09-28,122.0,2,0.08
2020-09-28,128.0,1,0.04
2020-09-28,132.0,1,0.04
2020-09-28,149.0,1,0.04
2020-09-28,150.0,1,0.04
2020-09-29,0.0,2609,100.0
2020-09-29,1.0,81,3.1
2020-09-29,2.0,38,1.46
2020-09-29,3.0,28,1.07
2020-09-29,4.0,18,0.69
2020-09-29,5.0,14,0.54
2020-09-29,6.0,11,0.42
2020-09-29,7.0,16,0.61
2020-09-29,8.0,11,0.42
2020-09-29,9.0,7,0.27
2020-09-29,10.0,9,0.34
2020-09-29,11.0,10,0.38
2020-09-29,12.0,7,0.27
2020-09-29,13.0,7,0.27
2020-09-29,14.0,11,0.42
2020-09-29,15.0,12,0.46
2020-09-29,16.0,12,0.46
2020-09-29,17.0,9,0.34
2020-09-29,18.0,3,0.11
2020-09-29,19.0,5,0.19
2020-09-29,20.0,9,0.34
2020-09-29,21.0,8,0.31
2020-09-29,22.0,3,0.11
2020-09-29,23.0,12,0.46
2020-09-29,24.0,7,0.27
2020-09-29,25.0,6,0.23
2020-09-29,26.0,7,0.27
2020-09-29,27.0,4,0.15
2020-09-29,28.0,4,0.15
2020-09-29,29.0,2,0.08
2020-09-29,30.0,4,0.15
2020-09-29,31.0,2,0.08
2020-09-29,32.0,2,0.08
2020-09-29,33.0,4,0.15
2020-09-29,34.0,4,0.15
2020-09-29,35.0,6,0.23
2020-09-29,37.0,4,0.15
2020-09-29,38.0,3,0.11
2020-09-29,39.0,2,0.08
2020-09-29,40.0,1,0.04
2020-09-29,41.0,1,0.04
2020-09-29,42.0,3,0.11
2020-09-29,43.0,2,0.08
2020-09-29,44.0,4,0.15
2020-09-29,45.0,2,0.08
2020-09-29,46.0,2,0.08
2020-09-29,47.0,3,0.11
2020-09-29,48.0,1,0.04
2020-09-29,49.0,3,0.11
2020-09-29,50.0,1,0.04
2020-09-29,51.0,4,0.15
2020-09-29,53.0,2,0.08
2020-09-29,54.0,2,0.08
2020-09-29,56.0,3,0.11
2020-09-29,57.0,1,0.04
2020-09-29,58.0,1,0.04
2020-09-29,59.0,1,0.04
2020-09-29,60.0,1,0.04
2020-09-29,61.0,1,0.04
2020-09-29,62.0,2,0.08
2020-09-29,63.0,3,0.11
2020-09-29,64.0,1,0.04
2020-09-29,65.0,2,0.08
2020-09-29,66.0,2,0.08
2020-09-29,68.0,2,0.08
2020-09-29,70.0,1,0.04
2020-09-29,71.0,1,0.04
2020-09-29,72.0,1,0.04
2020-09-29,75.0,1,0.04
2020-09-29,76.0,1,0.04
2020-09-29,77.0,1,0.04
2020-09-29,78.0,1,0.04
2020-09-29,79.0,1,0.04
2020-09-29,80.0,1,0.04
2020-09-29,83.0,1,0.04
2020-09-29,85.0,1,0.04
2020-09-29,86.0,1,0.04
2020-09-29,88.0,1,0.04
2020-09-29,89.0,1,0.04
2020-09-29,90.0,1,0.04
2020-09-29,91.0,1,0.04
2020-09-29,92.0,1,0.04
2020-09-29,96.0,1,0.04
2020-09-29,97.0,1,0.04
2020-09-29,98.0,1,0.04
2020-09-29,101.0,1,0.04
2020-09-29,102.0,1,0.04
2020-09-29,103.0,1,0.04
2020-09-29,104.0,2,0.08
2020-09-29,106.0,1,0.04
2020-09-29,109.0,2,0.08
2020-09-29,110.0,1,0.04
2020-09-29,112.0,1,0.04
2020-09-29,114.0,1,0.04
2020-09-29,115.0,1,0.04
2020-09-29,117.0,1,0.04
2020-09-29,119.0,1,0.04
2020-09-29,121.0,2,0.08
2020-09-29,122.0,2,0.08
2020-09-29,123.0,2,0.08
2020-09-29,124.0,4,0.15
2020-09-29,125.0,1,0.04
2020-09-29,126.0,1,0.04
2020-09-29,128.0,2,0.08
2020-09-29,129.0,1,0.04
2020-09-29,130.0,1,0.04
2020-09-29,131.0,1,0.04
2020-09-29,132.0,1,0.04
2020-09-29,133.0,2,0.08
2020-09-29,134.0,1,0.04
2020-09-29,135.0,1,0.04
2020-09-29,138.0,2,0.08
2020-09-29,139.0,1,0.04
2020-09-29,140.0,2,0.08
2020-09-29,142.0,2,0.08
2020-09-29,144.0,6,0.23
2020-09-29,145.0,1,0.04
2020-09-29,146.0,1,0.04
2020-09-29,147.0,1,0.04
2020-09-29,149.0,2,0.08
2020-09-29,150.0,1,0.04
2020-09-29,152.0,1,0.04
2020-09-30,0.0,2502,100.0
2020-09-30,1.0,76,3.04
2020-09-30,2.0,31,1.24
2020-09-30,3.0,16,0.64
2020-09-30,4.0,12,0.48
2020-09-30,5.0,14,0.56
2020-09-30,6.0,17,0.68
2020-09-30,7.0,16,0.64
2020-09-30,8.0,13,0.52
2020-09-30,9.0,7,0.28
2020-09-30,10.0,7,0.28
2020-09-30,11.0,7,0.28
2020-09-30,12.0,7,0.28
2020-09-30,13.0,8,0.32
2020-09-30,14.0,8,0.32
2020-09-30,15.0,8,0.32
2020-09-30,16.0,5,0.2
2020-09-30,17.0,2,0.08
2020-09-30,18.0,3,0.12
2020-09-30,19.0,8,0.32
2020-09-30,20.0,4,0.16
2020-09-30,21.0,7,0.28
2020-09-30,22.0,8,0.32
2020-09-30,23.0,6,0.24
2020-09-30,24.0,1,0.04
2020-09-30,25.0,4,0.16
2020-09-30,26.0,3,0.12
2020-09-30,27.0,6,0.24
2020-09-30,28.0,6,0.24
2020-09-30,29.0,1,0.04
2020-09-30,30.0,5,0.2
2020-09-30,31.0,1,0.04
2020-09-30,32.0,4,0.16
2020-09-30,33.0,1,0.04
2020-09-30,34.0,4,0.16
2020-09-30,35.0,3,0.12
2020-09-30,36.0,3,0.12
2020-09-30,37.0,2,0.08
2020-09-30,38.0,3,0.12
2020-09-30,39.0,1,0.04
2020-09-30,40.0,1,0.04
2020-09-30,41.0,1,0.04
2020-09-30,42.0,6,0.24
2020-09-30,44.0,3,0.12
2020-09-30,45.0,2,0.08
2020-09-30,47.0,2,0.08
2020-09-30,48.0,2,0.08
2020-09-30,49.0,2,0.08
2020-09-30,50.0,1,0.04
2020-09-30,51.0,1,0.04
2020-09-30,52.0,1,0.04
2020-09-30,53.0,1,0.04
2020-09-30,54.0,5,0.2
2020-09-30,55.0,5,0.2
2020-09-30,56.0,1,0.04
2020-09-30,57.0,4,0.16
2020-09-30,58.0,1,0.04
2020-09-30,60.0,1,0.04
2020-09-30,61.0,3,0.12
2020-09-30,62.0,1,0.04
2020-09-30,63.0,2,0.08
2020-09-30,64.0,1,0.04
2020-09-30,66.0,2,0.08
2020-09-30,67.0,2,0.08
2020-09-30,68.0,3,0.12
2020-09-30,69.0,2,0.08
2020-09-30,70.0,3,0.12
2020-09-30,71.0,1,0.04
2020-09-30,73.0,2,0.08
2020-09-30,74.0,3,0.12
2020-09-30,76.0,2,0.08
2020-09-30,77.0,3,0.12
2020-09-30,78.0,2,0.08
2020-09-30,79.0,1,0.04
2020-09-30,82.0,1,0.04
2020-09-30,83.0,3,0.12
2020-09-30,84.0,2,0.08
2020-09-30,85.0,1,0.04
2020-09-30,89.0,1,0.04
2020-09-30,90.0,1,0.04
2020-09-30,91.0,2,0.08
2020-09-30,92.0,1,0.04
2020-09-30,95.0,1,0.04
2020-09-30,96.0,2,0.08
2020-09-30,97.0,1,0.04
2020-09-30,98.0,2,0.08
2020-09-30,101.0,4,0.16
2020-09-30,103.0,1,0.04
2020-09-30,105.0,3,0.12
2020-09-30,107.0,1,0.04
2020-09-30,108.0,1,0.04
2020-09-30,109.0,1,0.04
2020-09-30,111.0,1,0.04
2020-09-30,112.0,2,0.08
2020-09-30,114.0,1,0.04
2020-09-30,115.0,1,0.04
2020-09-30,116.0,1,0.04
2020-09-30,119.0,2,0.08
2020-09-30,120.0,1,0.04
2020-09-30,123.0,2,0.08
2020-09-30,124.0,1,0.04
2020-09-30,125.0,3,0.12
2020-09-30,126.0,1,0.04
2020-09-30,127.0,1,0.04
2020-09-30,129.0,1,0.04
2020-09-30,130.0,2,0.08
2020-09-30,131.0,2,0.08
2020-09-30,132.0,1,0.04
2020-09-30,133.0,2,0.08
2020-09-30,134.0,1,0.04
2020-09-30,135.0,1,0.04
2020-09-30,136.0,1,0.04
2020-09-30,138.0,1,0.04
2020-09-30,139.0,1,0.04
2020-09-30,140.0,3,0.12
2020-09-30,142.0,2,0.08
2020-09-30,147.0,1,0.04
2020-09-30,148.0,1,0.04
2020-09-30,149.0,1,0.04
2020-09-30,151.0,1,0.04
2020-10-01,0.0,2457,100.0
2020-10-01,1.0,80,3.26
2020-10-01,2.0,24,0.98
2020-10-01,3.0,13,0.53
2020-10-01,4.0,30,1.22
2020-10-01,5.0,24,0.98
2020-10-01,6.0,8,0.33
2020-10-01,7.0,20,0.81
2020-10-01,8.0,7,0.28
2020-10-01,9.0,13,0.53
2020-10-01,10.0,5,0.2
2020-10-01,11.0,12,0.49
2020-10-01,12.0,12,0.49
2020-10-01,13.0,4,0.16
2020-10-01,14.0,9,0.37
2020-10-01,15.0,6,0.24
2020-10-01,16.0,4,0.16
2020-10-01,17.0,5,0.2
2020-10-01,18.0,9,0.37
2020-10-01,19.0,6,0.24
2020-10-01,20.0,8,0.33
2020-10-01,21.0,6,0.24
2020-10-01,22.0,11,0.45
2020-10-01,23.0,1,0.04
2020-10-01,24.0,4,0.16
2020-10-01,25.0,5,0.2
2020-10-01,26.0,4,0.16
2020-10-01,27.0,5,0.2
2020-10-01,28.0,7,0.28
2020-10-01,29.0,5,0.2
2020-10-01,30.0,1,0.04
